1044;20
6617;25
23597;11
35004;1
46411;98
91778;7
352573;1
511488;2
517061;1
534041;1
556855;10
380960;1
420754;6
443307;1
454714;8
460287;2
471694;4
273246;67
278819;1
324186;1
233452;1
347000;1
397940;3
108758;7
68964;6
171105;1
188085;1
199492;2
256266;1
27865;1
70530;8
2287940;39
84639;3
67659;7
121470;27
251998;1
521329;1
524200;1
541180;1
555289;3
558160;1
373821;19
376692;1
393672;1
447575;6
450446;1
464555;1
212204;3
268978;1
283087;1
285958;1
325752;4
359712;15
192353;1
195224;1
226313;2
232147;7
209333;11
249127;1
3915;7
3746;4
20895;18
32133;544
37875;39
156996;1
542577;1
548150;1
349871;3
502952;2
514190;2
514359;3
525597;1
536912;2
395069;5
400811;2
412049;2
429029;1
247561;2
497210;2
349702;1
338464;1
332722;1
366851;8
378089;3
383662;25
304504;2
315742;2
321484;1
332891;1
196621;1
344129;1
173976;2
179641;1
190956;2
202363;1
185383;3
298762;14
19421;49
25163;82
84808;3
365377;7
104321;10
96046;2
447744;1
283256;1
492942;3
498684;1
509922;1
535607;1
146986;3
405079;1
416317;1
354139;1
433297;3
439039;1
277514;1
311474;1
345434;2
300236;1
371119;1
268809;3
130006;90
234849;1
240591;3
251829;1
257571;1
266276;46
23766;4
131480;3
176770;2
199323;21
199661;1
222137;1
482932;1
505823;1
517230;1
539706;1
551190;1
398109;1
426496;1
420585;4
454545;15
460456;1
471863;1
295968;1
318444;6
341335;24
352742;2
363811;113
386702;3
210730;1
244690;2
256097;1
262008;2
267581;2
284484;1
2518;67
56083;3
58954;4
124341;4
133046;1
146817;1
475793;1
529942;1
385059;2
206800;4
387930;2
419357;1
453317;1
461684;1
331494;1
351099;1
353970;1
365454;1
515587;2
362583;90
274720;1
277345;9
288829;1
311305;36
297534;4
441833;15
152651;21
186611;12
220571;1
220909;3
240760;5
263236;1
3577;9
77500;3
88907;9
185552;1
196790;1
219512;4
463327;1
310077;3
497041;1
548488;1
384000;1
395238;1
406476;2
417714;1
429198;14
463081;1
287355;1
275948;1
298593;3
321315;1
122867;1
242157;2
230750;1
230919;1
253395;3
264710;1
208028;8
287186;1
2349;4
33776;1
22292;15
98917;23
132877;21
155353;1
538478;1
541011;1
549716;1
552249;2
450615;1
461853;2
484329;5
495813;13
518289;1
320087;1
353801;1
175542;1
362752;1
407950;1
209502;1
430426;9
297365;1
308603;4
319841;1
328792;1
331325;4
342563;1
24825;1
232224;1
263405;1
186780;5
286127;6
252167;49
706;36
6955;1
12113;94
23935;167
238948;101
29093;22
522972;1
528130;7
539952;1
551359;1
556517;1
432238;2
443645;3
460210;1
465783;1
477190;1
494585;1
